severity,category,code,name,title,detail,next_action,due_date,source,priority_score
critical,감사의견,031860,디에이치엑스컴퍼니,디에이치엑스컴퍼니 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,52.6
critical,감사의견,032980,바이온,바이온 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,52.4
critical,DART 원문,317120,라닉스,라닉스 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,51.9
critical,감사의견,080720,한국유니온제약,한국유니온제약 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,51.3
critical,감사의견,106520,노블엠앤비,노블엠앤비 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,50.4
critical,감사의견,056730,CNT85,CNT85 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,49.5
critical,DART 원문,002680,한탑,한탑 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,49.1
critical,DART 원문,225430,케이엠제약,케이엠제약 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,48.9
critical,DART 원문,043090,더테크놀로지,더테크놀로지 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,48.4
critical,감사의견,009730,이렘,이렘 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,48.4
critical,감사의견,106080,케이이엠텍,케이이엠텍 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,48.4
critical,감사의견,276040,스코넥,스코넥 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,48.1
critical,감사의견,096690,에이루트,에이루트 감사의견 확인,구조화 추출 결과: 부적정의견,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,48.1
critical,DART 원문,088290,이원컴포텍,이원컴포텍 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,48.1
critical,감사의견,054220,비츠로시스,비츠로시스 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,48.0
critical,감사의견,078860,아이오케이이엔엠,아이오케이이엔엠 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,48.0
critical,DART 원문,224060,더코디,더코디 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,47.9
critical,DART 원문,101000,KS인더스트리,KS인더스트리 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,47.7
critical,감사의견,214610,롤링스톤,롤링스톤 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,47.6
critical,감사의견,079970,투비소프트,투비소프트 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,46.9
critical,감사의견,043220,티에스넥스젠,티에스넥스젠 감사의견 확인,구조화 추출 결과: 부적정의견,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,45.9
critical,DART 원문,023790,동일스틸럭스,동일스틸럭스 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,45.8
critical,감사의견,044180,KD,KD 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,45.7
critical,DART 원문,038880,아이에이,아이에이 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,45.5
critical,감사의견,060240,스타코링크,스타코링크 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,45.1
critical,감사의견,043100,알파AI,알파AI 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,44.0
critical,감사의견,054180,메디콕스,메디콕스 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,43.9
critical,감사의견,065150,대산F&B,대산F&B 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,43.4
critical,감사의견,241820,피씨엘,피씨엘 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,42.9
critical,감사의견,083470,이엠앤아이,이엠앤아이 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,42.4
critical,DART 원문,065060,지엔코,지엔코 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,41.9
critical,DART 원문,065650,하이퍼코퍼레이션,하이퍼코퍼레이션 DART 원문 리스크,계속기업 불확실성 확인 필요,"감사보고서 원문, 현금흐름, 단기차입금 만기, 이후 공시를 묶어 회계법인 검토를 진행합니다.",,report_intelligence,40.9
critical,감사의견,065570,삼영이엔씨,삼영이엔씨 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,39.6
critical,감사의견,053290,NE능률,NE능률 감사의견 확인,구조화 추출 결과: 부적정의견,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,38.7
critical,감사의견,352770,셀레스트라,셀레스트라 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,38.0
critical,감사의견,244460,올리패스,올리패스 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,37.9
critical,감사의견,073540,에프알텍,에프알텍 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,31.4
critical,감사의견,052770,아이톡시,아이톡시 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,30.2
critical,감사의견,227100,프로브잇,프로브잇 감사의견 확인,구조화 추출 결과: 의견거절,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,27.4
high,뉴스,121850,코이즈,코이즈 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,82.0
high,뉴스,091970,나노캠텍,나노캠텍 최근 6개월 뉴스 리스크,"뉴스 리스크 96.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,70.2
high,뉴스,097780,에코볼트,에코볼트 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,68.5
high,news_risk,060260,뉴보텍,뉴보텍 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,68.2
high,뉴스,250930,예선테크,예선테크 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 26건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,67.5
high,뉴스,313760,캐리,캐리 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 26건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,66.9
high,뉴스,060260,뉴보텍,뉴보텍 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 27건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,66.4
high,news_risk,069920,엑시온그룹,엑시온그룹 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,65.5
high,뉴스,200230,텔콘RF제약,텔콘RF제약 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 29건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,65.2
high,news_risk,121850,코이즈,코이즈 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,64.8
high,group_entered_immediate,347770,핌스,핌스 즉시 검토 진입,심층 실사에서 즉시 검토로 이동했습니다.,변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,64.3
high,group_entered_immediate,084180,수성웹툰,수성웹툰 즉시 검토 진입,심층 실사에서 즉시 검토로 이동했습니다.,변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,62.7
high,뉴스,101390,아이엠,아이엠 최근 6개월 뉴스 리스크,"뉴스 리스크 80.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,62.4
high,news_risk,060230,제이케이시냅스,제이케이시냅스 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 76.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,61.9
high,news_risk,110020,전진바이오팜,전진바이오팜 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,61.7
high,news_risk,250930,예선테크,예선테크 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,61.5
high,뉴스,027580,상보,상보 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 19건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,61.3
high,뉴스,043590,웰킵스하이텍,웰킵스하이텍 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,61.3
high,group_entered_immediate,310870,디와이씨,디와이씨 즉시 검토 진입,심층 실사에서 즉시 검토로 이동했습니다.,변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,61.0
high,뉴스,060230,제이케이시냅스,제이케이시냅스 최근 6개월 뉴스 리스크,"뉴스 리스크 76.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,60.7
high,뉴스,073570,리튬포어스,리튬포어스 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,60.1
high,뉴스,123840,뉴온,뉴온 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 20건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,59.8
high,news_risk,079190,케스피온,케스피온 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,59.8
high,뉴스,110020,전진바이오팜,전진바이오팜 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 24건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,59.3
high,뉴스,011080,형지I&C,형지I&C 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 28건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,58.7
high,뉴스,309930,조이웍스앤코,조이웍스앤코 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,58.5
high,news_risk,080530,코디,코디 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,58.3
high,감사의견,009620,삼보산업,삼보산업 감사의견 확인,구조화 추출 결과: 한정의견,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,58.0
high,뉴스,009620,삼보산업,삼보산업 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 29건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,58.0
high,감사의견,019660,글로본,글로본 감사의견 확인,구조화 추출 결과: 계속기업 불확실성,"감사의견, 계속기업 불확실성, 내부회계관리제도 문단을 원문 대조",,structured_extracts.audit_opinion,57.0
high,뉴스,019660,글로본,글로본 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,57.0
high,뉴스,335870,윙스풋,윙스풋 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 24건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,57.0
high,뉴스,417180,핑거스토리,핑거스토리 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 28건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,56.8
high,뉴스,058450,한주에이알티,한주에이알티 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,56.8
high,뉴스,079190,케스피온,케스피온 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,56.1
high,뉴스,042040,케이피엠테크,케이피엠테크 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,56.0
high,뉴스,050090,비케이홀딩스,비케이홀딩스 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 23건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,55.9
high,뉴스,096870,엘디티,엘디티 최근 6개월 뉴스 리스크,"뉴스 리스크 90.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,55.9
high,뉴스,018620,우진비앤지,우진비앤지 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,55.8
high,news_risk,313760,캐리,캐리 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,55.4
high,뉴스,079950,인베니아,인베니아 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,55.3
high,뉴스,051780,큐로홀딩스,큐로홀딩스 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,54.5
high,뉴스,405000,플라즈맵,플라즈맵 최근 6개월 뉴스 리스크,"뉴스 리스크 92.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,54.4
high,news_risk,027580,상보,상보 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,54.3
high,뉴스,227610,아우딘퓨쳐스,아우딘퓨쳐스 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,54.0
high,뉴스,354200,엔젠바이오,엔젠바이오 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,54.0
high,뉴스,035620,바른손이앤에이,바른손이앤에이 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 29건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,53.5
high,뉴스,069330,유아이디,유아이디 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,53.5
high,뉴스,030350,드래곤플라이,드래곤플라이 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,53.2
high,뉴스,131180,딜리,딜리 최근 6개월 뉴스 리스크,"뉴스 리스크 96.0점, 톤 리스크 우세, 기사 12건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,53.2
high,뉴스,419540,비스토스,비스토스 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,53.2
high,뉴스,270520,앱튼,앱튼 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 27건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,53.2
high,뉴스,069920,엑시온그룹,엑시온그룹 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,53.1
high,뉴스,193250,링크드,링크드 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,53.0
high,news_risk,091970,나노캠텍,나노캠텍 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 96.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,52.8
high,뉴스,031860,디에이치엑스컴퍼니,디에이치엑스컴퍼니 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,52.6
high,news_risk,270520,앱튼,앱튼 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,52.5
high,뉴스,032980,바이온,바이온 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 29건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,52.4
high,news_risk,069330,유아이디,유아이디 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,51.8
high,news_risk,009620,삼보산업,삼보산업 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,51.6
high,뉴스,032680,소프트센,소프트센 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,51.5
high,뉴스,115480,씨유메디칼,씨유메디칼 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,51.5
high,뉴스,377030,비트맥스,비트맥스 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 29건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,51.4
high,뉴스,080720,한국유니온제약,한국유니온제약 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 26건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,51.3
high,news_risk,050090,비케이홀딩스,비케이홀딩스 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 100.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,50.8
high,news_risk,900270,헝셩그룹,헝셩그룹 뉴스 리스크 확인,"최근 6개월 뉴스 리스크 68.0점, 뉴스 톤 리스크 우세입니다.",변화 공시/뉴스 원문을 확인하고 후보 상태를 갱신,,monitoring,50.8
high,뉴스,106520,노블엠앤비,노블엠앤비 최근 6개월 뉴스 리스크,"뉴스 리스크 100.0점, 톤 리스크 우세, 기사 30건",뉴스 이벤트와 DART 공시 발생일을 대조하고 단발성 이슈인지 구조적 리스크인지 분리,,news_analysis,50.4
